index	city	company_name	duration	frequency	job	job_link	salary
387	上海	龙旗	1个月	7天/周	Camera调试工程师实习生（20届）J12448	https://www.shixiseng.com/intern/inn_bn4uoo0kdy4j?pcm=pc_SearchList	436-551/天
388	海口	光耀嘉瑞	4个月	5天/周	业务助理	https://www.shixiseng.com/intern/inn_1tgexjxbsuu2?pcm=pc_SearchList	100-150/天
389	上海	第四范式	3个月	4天/周	数据平台开发实习生	https://www.shixiseng.com/intern/inn_wgkonlcvgltn?pcm=pc_SearchList	400-500/天
390	深圳	智联慧通	3个月	5天/周	软件测试（初级）	https://www.shixiseng.com/intern/inn_v2brsbbgvrhg?pcm=pc_SearchList	200-400/天
391	北京	中子星金融	3个月	5天/周	运营实习生	https://www.shixiseng.com/intern/inn_gj2qe2nfn0uk?pcm=pc_SearchList	100-200/天
392	北京	链家	13个月	6天/周	定慧寺商圈销售专员	https://www.shixiseng.com/intern/inn_zck37fqgkvna?pcm=pc_SearchList	250-300/天
393	成都	优联人力	3个月	5天/周	评论审核实习生	https://www.shixiseng.com/intern/inn_ejbkostc0m5w?pcm=pc_SearchList	120-200/天
394	绍兴	我武生物	3个月	5天/周	医药销售代表	https://www.shixiseng.com/intern/inn_hfbdvjwo1wmy?pcm=pc_SearchList	150-300/天
395	广州	祺曜互娱	3个月	5天/周	执行文案策划实习生	https://www.shixiseng.com/intern/inn_k6pazekyogzr?pcm=pc_SearchList	120-150/天
396	上海	DB Schenker	6个月	4天/周	（2021届毕业）Sales Assistant - 实习生（上海）	https://www.shixiseng.com/intern/inn_aliptfl2gknm?pcm=pc_SearchList	100-120/天
397	北京	链家	12个月	6天/周	航天桥二手房经纪人	https://www.shixiseng.com/intern/inn_pdntfca7z9rc?pcm=pc_SearchList	200-250/天
398	广州	卓翼教育	3个月	6天/周	招生老师（实习）	https://www.shixiseng.com/intern/inn_rvxhb4wzjbwd?pcm=pc_SearchList	100-120/天
399	北京	陌陌科技	3个月	5天/周	图形算法实习生	https://www.shixiseng.com/intern/inn_2tsqqoolrffd?pcm=pc_SearchList	300-300/天
400	韶关	我武生物	10个月	5天/周	医药销售代表/医学信息沟通专员（广东-韶关）	https://www.shixiseng.com/intern/inn_cvpdaabar4rb?pcm=pc_SearchList	120-200/天
401	北京	让渡居	3个月	1天/周	业务支持专员	https://www.shixiseng.com/intern/inn_be6vmyeb0vge?pcm=pc_SearchList	0-50/天
402	上海	海隆软件	3个月	5天/周	3D设计实习生	https://www.shixiseng.com/intern/inn_gy7cwsdltpef?pcm=pc_SearchList	150-200/天
